,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bambous Virieux,75,MU,1558562843,83,-20.34,57.76,75.2,10.13
1,Punta Arenas,90,CL,1558562828,93,-53.16,-70.91,46.4,4.7
2,Chimoio,0,MZ,1558562843,82,-19.11,33.48,62.6,1.95
3,Bluff,0,AU,1558562843,79,-23.58,149.07,59.11,10.4
4,Dingle,100,PH,1558562847,82,11.0,122.67,78.19,2.66
5,Longyearbyen,0,NO,1558562847,74,78.22,15.63,25.81,6.29
6,Campo Grande,40,BR,1558562847,54,-20.46,-54.62,80.6,4.7
7,Ostrovnoy,79,RU,1558562847,76,68.05,39.51,33.55,14.81
8,Ouesso,46,CG,1558562847,73,1.61,16.05,77.29,2.17
9,Port Blair,100,IN,1558562652,73,11.67,92.75,84.85,7.87
10,Hobart,75,AU,1558562846,62,-42.88,147.33,55.0,8.05
11,Sola,0,FI,1558562848,87,62.78,29.36,46.0,11.41
12,Rockland,1,US,1558562611,47,42.13,-70.92,72.0,8.05
13,Victoria,75,BN,1558562831,88,5.28,115.24,80.6,2.24
14,Ust-Tsilma,95,RU,1558562849,73,65.44,52.15,37.87,3.85
15,Avarua,31,CK,1558562849,94,-21.21,-159.78,75.2,14.99
16,Mataura,8,NZ,1558562849,83,-46.19,168.86,53.01,1.99
17,Rikitea,35,PF,1558562849,73,-23.12,-134.97,75.85,10.89
18,Linjiang,66,CN,1558562849,64,41.81,126.91,46.15,3.87
19,Geraldton,90,CA,1558562850,93,49.72,-86.95,46.4,9.17
20,Kruisfontein,0,ZA,1558562850,81,-34.0,24.73,50.47,4.34
21,Hilo,40,US,1558562777,48,19.71,-155.08,84.2,11.41
22,Luganville,40,VU,1558562850,65,-15.51,167.18,77.0,9.17
23,Haines Junction,0,CA,1558562850,29,60.75,-137.51,60.37,10.51
24,Provideniya,75,RU,1558562850,85,64.42,-173.23,33.8,4.47
25,Albany,75,US,1558562561,30,42.65,-73.75,71.01,4.7
26,Qaanaaq,99,GL,1558562851,77,77.48,-69.36,28.87,4.36
27,Sao Felix do Xingu,55,BR,1558562851,94,-6.64,-51.99,75.85,5.08
28,Cape Town,0,ZA,1558562851,93,-33.93,18.42,60.01,4.7
29,Chokurdakh,86,RU,1558562851,83,70.62,147.9,20.23,18.32
30,Hovd,0,NO,1558562852,63,63.83,10.7,66.2,10.29
31,Uyovu,34,TZ,1558562852,79,-3.28,31.53,66.67,2.89
32,Vila Franca do Campo,20,PT,1558562852,82,37.72,-25.43,62.6,9.17
33,Finnsnes,0,NO,1558562852,52,69.23,17.98,41.0,18.34
34,Bredasdorp,41,ZA,1558562852,87,-34.53,20.04,53.6,4.7
35,Rotifunk,86,SL,1558562852,76,8.23,-12.68,82.15,4.9
36,Saskylakh,52,RU,1558562853,87,71.97,114.09,29.59,8.99
37,Santa Maria,90,BR,1558562687,93,-29.69,-53.81,66.2,6.93
38,Pekan,75,MY,1558562853,100,3.49,103.39,75.2,1.12
39,Williston,20,US,1558562854,33,48.15,-103.62,68.0,13.87
40,Claymont,1,US,1558562854,36,33.2,-87.5,93.2,11.41
41,Emerald,0,AU,1558562854,76,-23.53,148.16,61.0,8.05
42,Samarai,28,PG,1558562854,95,-10.62,150.67,74.23,4.76
43,Umba,30,RU,1558562854,66,66.69,34.34,34.27,5.55
44,Castro,75,CL,1558562855,87,-42.48,-73.76,44.6,5.82
45,Yaan,71,NG,1558562855,50,7.38,8.57,87.19,7.56
